id,label
0,"10,64,473"
1,"3,17"
2,"3,111,169"
3,"0,216"
4,"10,40,145"
5,"0,8,206"
6,"0,313"
7,"40,41,42"
8,"23,24,49"
9,"3,21"
10,"10,11,205"
11,"40,145"
12,"40,128,169,195"
13,"0,23,26"
14,"23,24,38,71"
15,"23,38"
16,"10,11,40,44,145"
17,"3,111"
18,"10,64,93"
19,"10,11,40,44,67,145"
20,"40,145,181"
21,"23,26,231"
22,"3,5,228"
23,"40,160,315"
24,"0,208"
25,"40,131,159"
26,"3,21"
27,"10,64,93"
28,"3,17"
29,"3,13,111"
30,"23,24,43"
31,"3,21"
32,"40,131"
33,"0,218,271"
34,"23,31"
35,"3,21"
36,"40,128,145,194"
37,"10,11,40,44,69,145"
38,"3,4,435"
39,"40,139"
40,"0,216,370"
41,"3,5,21"
42,"40,135,138"
43,"0,265"
44,"10,40,44,72,145"
45,"40,162,163"
46,"3,17,168"
47,"3,10,21,60,234"
48,"40,128"
49,"10,54,322"
50,"23,38,82"
51,"3,4,111"
52,"10,11,40,44,67,145"
53,"3,23"
54,3
55,"40,139"
56,"10,64"
57,"3,111"
58,"23,26,231"
59,3
60,"3,111"
61,"10,64,448"
62,"0,255,271,280,348"
63,"3,40,128,145,194"
64,"40,128"
65,"3,21"
66,"40,131,134"
67,"169,170"
68,"3,17,168"
69,"0,265"
70,"10,64,335"
71,"10,40,64,145,448"
72,"40,41,224"
73,"40,41,42"
74,"10,23,105,220,326"
75,"0,208"
76,"3,21,187"
77,"0,313,346"
78,"23,24,49"
79,"10,220"
80,"10,64,93"
81,"3,17"
82,"10,40,44,72,145"
83,"169,296,306"
84,"23,24,49"
85,"23,38"
86,"40,131"
87,"3,21"
88,"23,26,231"
89,"3,53"
90,"0,40,145,216,370"
91,"10,220"
92,"0,216,257"
93,"3,4,435"
94,"40,131,145"
95,"40,145"
96,"23,24,49"
97,"40,139,162,163"
98,"40,145,493"
99,"0,8,308"
100,"23,26,231"
101,"23,105"
102,"10,54,322"
103,"3,120,147,225"
104,"23,40,145"
105,"0,313,346"
106,3
107,"10,60"
108,"0,216"
109,"0,8,206"
110,"3,5"
111,"169,170,199,223,311,337,426"
112,"3,4"
113,"3,34,447"
114,"10,220"
115,"169,170,199,259,311,426"
116,"0,313"
117,"0,8"
118,"40,128,175"
119,"3,21"
120,"3,21,33,147,148"
121,"0,265"
122,"10,11,40,44,69,145"
123,"3,21"
124,"3,111"
125,"3,21,187"
126,"0,229"
127,"10,40,54,145"
128,"0,271"
129,"0,265"
130,"10,40,54,145"
131,"169,170"
132,"23,38,82"
133,"40,135,250"
134,3
135,"40,145,169"
136,0
137,"40,145,402"
138,"0,265"
139,"169,170,171,199"
140,"40,135,139,250"
141,"3,111"
142,"169,170,436"
143,"3,111"
144,"10,40,44,72,145"
145,"10,40,44,72,145"
146,"3,4"
147,"169,170,199,274,311,337,426"
148,"10,40,64,145,448"
149,"40,160"
150,"40,135"
151,"23,38"
152,"3,4,435"
153,"0,265"
154,"3,169"
155,"23,26,231"
156,"40,131,145"
157,"10,40,44,145"
158,"3,21"
159,"40,128,169,170,179,199,296,311,337,426"
160,"0,8"
161,"23,38,82"
162,"40,131,241"
163,"3,111"
164,"0,271"
165,"0,40,128,195"
166,"10,64,90"
167,"10,64,93,473"
168,"10,40,44,145"
169,"40,41,128,186,324"
